Bundesland;Altersgruppe;Anzahl;Prozent
Deutschland;Insgesamt;82719540;100.0
Deutschland;Unter 3 Jahre;2295609;2.8
Deutschland;3 bis 5 Jahre;2390643;2.9
Deutschland;6 bis 14 Jahre;6849919;8.3
Deutschland;15 bis 17 Jahre;2276779;2.8
Deutschland;18 bis 24 Jahre;5925526;7.2
Deutschland;25 bis 29 Jahre;4758696;5.8
Deutschland;30 bis 39 Jahre;10855510;13.1
Deutschland;40 bis 49 Jahre;10000497;12.1
Deutschland;50 bis 64 Jahre;18976154;22.9
Deutschland;65 bis 74 Jahre;9226784;11.2
Deutschland;75 Jahre und älter;9163427;11.1
Schleswig-Holstein;Insgesamt;2927542;100.0
Schleswig-Holstein;Unter 3 Jahre;75193;2.6
Schleswig-Holstein;3 bis 5 Jahre;80399;2.7
Schleswig-Holstein;6 bis 14 Jahre;239815;8.2
Schleswig-Holstein;15 bis 17 Jahre;83002;2.8
Schleswig-Holstein;18 bis 24 Jahre;207027;7.1
Schleswig-Holstein;25 bis 29 Jahre;156228;5.3
Schleswig-Holstein;30 bis 39 Jahre;350097;12.0
Schleswig-Holstein;40 bis 49 Jahre;343953;11.7
Schleswig-Holstein;50 bis 64 Jahre;701441;24.0
Schleswig-Holstein;65 bis 74 Jahre;333934;11.4
Schleswig-Holstein;75 Jahre und älter;356457;12.2
Hamburg;Insgesamt;1808846;100.0
Hamburg;Unter 3 Jahre;56179;3.1
Hamburg;3 bis 5 Jahre;55935;3.1
Hamburg;6 bis 14 Jahre;149342;8.3
Hamburg;15 bis 17 Jahre;47332;2.6
Hamburg;18 bis 24 Jahre;137977;7.6
Hamburg;25 bis 29 Jahre;135550;7.5
Hamburg;30 bis 39 Jahre;289410;16.0
Hamburg;40 bis 49 Jahre;244198;13.5
Hamburg;50 bis 64 Jahre;363629;20.1
Hamburg;65 bis 74 Jahre;154370;8.5
Hamburg;75 Jahre und älter;174919;9.7
Niedersachsen;Insgesamt;7943265;100.0
Niedersachsen;Unter 3 Jahre;219864;2.8
Niedersachsen;3 bis 5 Jahre;228833;2.9
Niedersachsen;6 bis 14 Jahre;656833;8.3
Niedersachsen;15 bis 17 Jahre;226461;2.9
Niedersachsen;18 bis 24 Jahre;586838;7.4
Niedersachsen;25 bis 29 Jahre;453898;5.7
Niedersachsen;30 bis 39 Jahre;975309;12.3
Niedersachsen;40 bis 49 Jahre;925877;11.7
Niedersachsen;50 bis 64 Jahre;1867828;23.5
Niedersachsen;65 bis 74 Jahre;902201;11.4
Niedersachsen;75 Jahre und älter;899327;11.3
Bremen;Insgesamt;693204;100.0
Bremen;Unter 3 Jahre;21304;3.1
Bremen;3 bis 5 Jahre;21517;3.1
Bremen;6 bis 14 Jahre;56612;8.2
Bremen;15 bis 17 Jahre;19016;2.7
Bremen;18 bis 24 Jahre;58790;8.5
Bremen;25 bis 29 Jahre;49716;7.2
Bremen;30 bis 39 Jahre;95928;13.8
Bremen;40 bis 49 Jahre;81576;11.8
Bremen;50 bis 64 Jahre;144048;20.8
Bremen;65 bis 74 Jahre;70778;10.2
Bremen;75 Jahre und älter;73925;10.7
Nordrhein-Westfalen;Insgesamt;17890489;100.0
Nordrhein-Westfalen;Unter 3 Jahre;503949;2.8
Nordrhein-Westfalen;3 bis 5 Jahre;521924;2.9
Nordrhein-Westfalen;6 bis 14 Jahre;1492014;8.3
Nordrhein-Westfalen;15 bis 17 Jahre;506382;2.8
Nordrhein-Westfalen;18 bis 24 Jahre;1334956;7.5
Nordrhein-Westfalen;25 bis 29 Jahre;1091070;6.1
Nordrhein-Westfalen;30 bis 39 Jahre;2311794;12.9
Nordrhein-Westfalen;40 bis 49 Jahre;2129366;11.9
Nordrhein-Westfalen;50 bis 64 Jahre;4143834;23.2
Nordrhein-Westfalen;65 bis 74 Jahre;1936536;10.8
Nordrhein-Westfalen;75 Jahre und älter;1918660;10.7
Hessen;Insgesamt;6207278;100.0
Hessen;Unter 3 Jahre;174056;2.8
Hessen;3 bis 5 Jahre;181414;2.9
Hessen;6 bis 14 Jahre;521345;8.4
Hessen;15 bis 17 Jahre;175673;2.8
Hessen;18 bis 24 Jahre;457513;7.4
Hessen;25 bis 29 Jahre;376422;6.1
Hessen;30 bis 39 Jahre;816142;13.1
Hessen;40 bis 49 Jahre;773872;12.5
Hessen;50 bis 64 Jahre;1412967;22.8
Hessen;65 bis 74 Jahre;667106;10.7
Hessen;75 Jahre und älter;650768;10.5
Rheinland-Pfalz;Insgesamt;4094169;100.0
Rheinland-Pfalz;Unter 3 Jahre;113519;2.8
Rheinland-Pfalz;3 bis 5 Jahre;119134;2.9
Rheinland-Pfalz;6 bis 14 Jahre;336286;8.2
Rheinland-Pfalz;15 bis 17 Jahre;112137;2.7
Rheinland-Pfalz;18 bis 24 Jahre;290903;7.1
Rheinland-Pfalz;25 bis 29 Jahre;234733;5.7
Rheinland-Pfalz;30 bis 39 Jahre;515363;12.6
Rheinland-Pfalz;40 bis 49 Jahre;478945;11.7
Rheinland-Pfalz;50 bis 64 Jahre;969799;23.7
Rheinland-Pfalz;65 bis 74 Jahre;484483;11.8
Rheinland-Pfalz;75 Jahre und älter;438868;10.7
Baden-Württemberg;Insgesamt;11104040;100.0
Baden-Württemberg;Unter 3 Jahre;329473;3.0
Baden-Württemberg;3 bis 5 Jahre;333401;3.0
Baden-Württemberg;6 bis 14 Jahre;936233;8.4
Baden-Württemberg;15 bis 17 Jahre;318259;2.9
Baden-Württemberg;18 bis 24 Jahre;862202;7.8
Baden-Württemberg;25 bis 29 Jahre;693287;6.2
Baden-Württemberg;30 bis 39 Jahre;1471557;13.3
Baden-Württemberg;40 bis 49 Jahre;1348093;12.1
Baden-Württemberg;50 bis 64 Jahre;2490227;22.4
Baden-Württemberg;65 bis 74 Jahre;1160404;10.5
Baden-Württemberg;75 Jahre und älter;1160911;10.5
Bayern;Insgesamt;13038724;100.0
Bayern;Unter 3 Jahre;382621;2.9
Bayern;3 bis 5 Jahre;383702;2.9
Bayern;6 bis 14 Jahre;1072467;8.2
Bayern;15 bis 17 Jahre;355442;2.7
Bayern;18 bis 24 Jahre;950372;7.3
Bayern;25 bis 29 Jahre;797998;6.1
Bayern;30 bis 39 Jahre;1752300;13.4
Bayern;40 bis 49 Jahre;1629365;12.5
Bayern;50 bis 64 Jahre;2973561;22.8
Bayern;65 bis 74 Jahre;1378399;10.6
Bayern;75 Jahre und älter;1362499;10.4
Saarland;Insgesamt;1006864;100.0
Saarland;Unter 3 Jahre;25229;2.5
Saarland;3 bis 5 Jahre;26051;2.6
Saarland;6 bis 14 Jahre;75190;7.5
Saarland;15 bis 17 Jahre;25816;2.6
Saarland;18 bis 24 Jahre;67714;6.7
Saarland;25 bis 29 Jahre;57828;5.7
Saarland;30 bis 39 Jahre;125187;12.4
Saarland;40 bis 49 Jahre;112206;11.1
Saarland;50 bis 64 Jahre;244493;24.3
Saarland;65 bis 74 Jahre;130969;13.0
Saarland;75 Jahre und älter;116184;11.5
Berlin;Insgesamt;3596999;100.0
Berlin;Unter 3 Jahre;107543;3.0
Berlin;3 bis 5 Jahre;108007;3.0
Berlin;6 bis 14 Jahre;296570;8.2
Berlin;15 bis 17 Jahre;89328;2.5
Berlin;18 bis 24 Jahre;249455;6.9
Berlin;25 bis 29 Jahre;254203;7.1
Berlin;30 bis 39 Jahre;607901;16.9
Berlin;40 bis 49 Jahre;465867;13.0
Berlin;50 bis 64 Jahre;720678;20.0
Berlin;65 bis 74 Jahre;334621;9.3
Berlin;75 Jahre und älter;362829;10.1
Brandenburg;Insgesamt;2534075;100.0
Brandenburg;Unter 3 Jahre;59210;2.3
Brandenburg;3 bis 5 Jahre;69635;2.7
Brandenburg;6 bis 14 Jahre;214038;8.4
Brandenburg;15 bis 17 Jahre;66615;2.6
Brandenburg;18 bis 24 Jahre;135478;5.3
Brandenburg;25 bis 29 Jahre;82021;3.2
Brandenburg;30 bis 39 Jahre;310771;12.3
Brandenburg;40 bis 49 Jahre;309488;12.2
Brandenburg;50 bis 64 Jahre;638029;25.2
Brandenburg;65 bis 74 Jahre;329986;13.0
Brandenburg;75 Jahre und älter;318819;12.6
Mecklenburg-Vorpommern;Insgesamt;1570817;100.0
Mecklenburg-Vorpommern;Unter 3 Jahre;34856;2.2
Mecklenburg-Vorpommern;3 bis 5 Jahre;39963;2.5
Mecklenburg-Vorpommern;6 bis 14 Jahre;126400;8.0
Mecklenburg-Vorpommern;15 bis 17 Jahre;39922;2.5
Mecklenburg-Vorpommern;18 bis 24 Jahre;89134;5.7
Mecklenburg-Vorpommern;25 bis 29 Jahre;54174;3.4
Mecklenburg-Vorpommern;30 bis 39 Jahre;192626;12.3
Mecklenburg-Vorpommern;40 bis 49 Jahre;182843;11.6
Mecklenburg-Vorpommern;50 bis 64 Jahre;389370;24.8
Mecklenburg-Vorpommern;65 bis 74 Jahre;223442;14.2
Mecklenburg-Vorpommern;75 Jahre und älter;198085;12.6
Sachsen;Insgesamt;4038131;100.0
Sachsen;Unter 3 Jahre;97897;2.4
Sachsen;3 bis 5 Jahre;111943;2.8
Sachsen;6 bis 14 Jahre;338986;8.4
Sachsen;15 bis 17 Jahre;104294;2.6
Sachsen;18 bis 24 Jahre;247869;6.1
Sachsen;25 bis 29 Jahre;164989;4.1
Sachsen;30 bis 39 Jahre;522974;13.0
Sachsen;40 bis 49 Jahre;483094;12.0
Sachsen;50 bis 64 Jahre;885406;21.9
Sachsen;65 bis 74 Jahre;523491;13.0
Sachsen;75 Jahre und älter;557189;13.8
Sachsen-Anhalt;Insgesamt;2146443;100.0
Sachsen-Anhalt;Unter 3 Jahre;47271;2.2
Sachsen-Anhalt;3 bis 5 Jahre;53920;2.5
Sachsen-Anhalt;6 bis 14 Jahre;166618;7.8
Sachsen-Anhalt;15 bis 17 Jahre;53409;2.5
Sachsen-Anhalt;18 bis 24 Jahre;123101;5.7
Sachsen-Anhalt;25 bis 29 Jahre;77869;3.6
Sachsen-Anhalt;30 bis 39 Jahre;259127;12.1
Sachsen-Anhalt;40 bis 49 Jahre;242336;11.3
Sachsen-Anhalt;50 bis 64 Jahre;525400;24.5
Sachsen-Anhalt;65 bis 74 Jahre;301038;14.0
Sachsen-Anhalt;75 Jahre und älter;296354;13.8
Thüringen;Insgesamt;2110396;100.0
Thüringen;Unter 3 Jahre;47193;2.2
